,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
484,N/A,N/A,wm,N/A,N/A,N/A,N/A,N/A,180.72,24.43,2.10,5.19,8.70,16.27,6.42,1.5,29.13,27300000000.0,40190000000.0,20.35,2.48,3.07,11.61,3.07,4730000000.0,1.5,1140000000.0,2.52,N/A,4.50,104000000.0,0.23,9600000000.0,0.90,11.90,61.46,1.5,2.80,78.40,5690000.0,2.14,1.29,9160000.0,N/A
485,N/A,N/A,wmb,N/A,N/A,N/A,N/A,N/A,158.81,N/A,1.96,2.51,9.67,20.36,1.87,1.5,9.74,14520000000.0,39170000000.0,15.60,0.66,5.36,12.08,5.36,3930000000.0,1.5,706000000.0,0.94,N/A,3.30,164000000.0,0.22,24810000000.0,0.45,7.59,19.35,1.5,0.15,87.80,23920000.0,2.26,3.49,25550000.0,N/A
486,N/A,N/A,wmt,N/A,N/A,N/A,N/A,N/A,59.84,14.21,0.44,2.62,3.05,5.00,7.48,1.5,150.34,203830000000.0,245520000000.0,15.00,392.25,0.51,7.32,0.51,121150000000.0,1.5,14690000000.0,4.57,7.90,1.40,8700000000.0,2.77,50030000000.0,0.93,25.47,64.94,1.5,51.35,30.60,28570000.0,3.66,1.88,33240000.000000004,N/A
487,N/A,N/A,wpx,N/A,N/A,N/A,N/A,N/A,86.77,N/A,1.90,0.79,137.44,210.65,21.30,1.5,5.21,2520000000.0,5560000000.0,N/A,11.84,4.23,9.79,4.23,1120000000.0,1.5,1700000000.0,7.22,N/A,49.50,11000000.0,0.04,3050000000.0,1.52,11.48,9.12,1.5,9.54,68.70,41080000.0,3.57,14.95,43190000.0,N/A
488,N/A,N/A,wtw,N/A,N/A,N/A,N/A,N/A,N/A,29.00,0.72,N/A,2.40,15.64,8.21,1.5,19.14,847160000.0,2710000000.0,11.18,0.94,2.36,11.67,2.36,574090000.0,1.5,27550000.0,0.46,N/A,4.70,127800000.0,2.01,1990000000.0,0.58,20.50,13.31,1.5,51.88,95.00,18460000.0,10.88,96.31,18930000.0,N/A
489,N/A,N/A,wu,N/A,N/A,N/A,N/A,N/A,260.36,11.98,1.73,7.64,15.01,20.27,7.00,1.5,10.76,9420000000.0,11470000000.0,11.02,1.66,2.10,8.32,2.10,2280000000.0,1.5,819600000.0,1.60,8.90,1.80,1180000000.0,2.40,3230000000.0,0.39,2.52,19.18,1.5,0.11,111.30,59020000.0,12.90,13.78,58910000.0,N/A
490,N/A,N/A,wy,N/A,N/A,N/A,N/A,N/A,89.03,38.10,3.25,2.31,6.77,14.14,3.65,1.5,13.21,23580000000.0,31790000000.0,N/A,N/A,4.43,21.01,4.43,1390000000.0,1.5,442000000.0,0.81,19.80,6.80,415000000.0,0.56,9150000000.0,1.86,13.53,30.86,1.5,1.41,83.80,18400000.0,3.33,2.35,17970000.0,N/A
491,N/A,N/A,wyn,N/A,N/A,N/A,N/A,N/A,646.67,13.46,1.39,9.25,10.51,18.07,6.28,1.5,48.08,7540000000.0,12650000000.0,10.69,0.91,2.27,10.14,2.27,2840000000.0,1.5,586000000.0,5.00,21.30,3.20,318000000.0,2.84,5430000000.0,1.04,7.48,67.35,1.5,1.15,95.10,10970000.0,7.52,9.91,11140000.0,N/A
492,N/A,N/A,wynn,N/A,N/A,N/A,N/A,N/A,626.31,29.07,2.38,N/A,7.92,16.06,4.04,1.5,39.33,9150000000.0,16239999999.999998,18.36,1.26,4.08,16.97,4.08,1550000000.0,1.5,315110000.0,3.09,N/A,8.70,2290000000.0,22.54,9410000000.0,2.68,0.83,89.95,1.5,31.89,75.70,43.00,3.38,22.45,14040000.0,N/A
493,N/A,N/A,x,N/A,N/A,N/A,N/A,N/A,160.63,N/A,0.20,1.12,17.92,7.34,4.77,1.5,72.77,2049999999.9999998,4460000000.0,N/A,0.20,0.42,17.92,0.42,433000000.0,1.5,1910000000.0,13.04,N/A,28.50,705000000.0,4.81,3120000000.0,1.68,13.26,13.98,1.5,0.36,88.10,39840000.0,2.31,32.15,36130000.0,N/A
494,N/A,N/A,xel,N/A,N/A,N/A,N/A,N/A,132.01,19.77,1.96,2.00,9.91,19.75,N/A,1.5,21.32,21190000000.0,35070000000.0,17.98,3.60,3.24,10.33,3.24,3990000000.0,1.5,1070000000.0000001,2.11,58.70,6.40,91170000.0,0.18,13990000000.0,N/A,20.89,41.71,1.5,0.15,71.80,10590000.0,3.87,2.09,12220000.0,N/A
495,N/A,N/A,xl,N/A,N/A,N/A,N/A,N/A,19.42,8.60,0.91,0.83,11.27,14.06,1.74,1.5,35.86,9980000000.0,7810000000.0,9.41,1.14,0.74,4.90,0.74,3110000000.0,1.5,1190000000.0,3.97,39.70,70.10,4570000000.0,16.07,2650000000.0,1.43,40.83,34.17,1.5,0.33,96.00,7320000.0,4.26,2.54,7730000.0,N/A
496,N/A,N/A,xlnx,N/A,N/A,N/A,N/A,N/A,61.12,21.09,4.95,4.23,24.88,30.26,8.61,1.5,8.61,11050000000.0,9290000000.0,18.56,4.36,4.20,12.57,4.20,1670000000.0,1.5,550870000.0,2.05,7.70,0.70,3340000000.0,13.07,1580000000.0,4.14,10.14,43.24,1.5,0.32,94.40,9220000.0,4.02,3.57,10120000.0,N/A
497,N/A,N/A,xom,N/A,N/A,N/A,N/A,N/A,24.15,28.55,1.69,2.16,5.92,4.20,1.68,1.5,52.50,367640000000.0,405900000000.0,20.38,1.27,1.85,14.63,1.85,93900000000.0,1.5,13020000000.0,3.11,63.40,28.60,4850000000.0,1.17,43110000000.0,0.91,41.53,88.66,1.5,0.13,50.10,41620000.0,3.85,1.00,44040000.0,N/A
498,N/A,N/A,xray,N/A,N/A,N/A,N/A,N/A,14.10,29.73,5.20,1.73,11.19,15.88,3.45,1.5,18.78,14390000000.0,15180000000.0,19.79,1.95,5.44,26.13,5.44,1520000000.0,1.5,312200000.0,2.06,95.30,17.70,323100000.0,1.38,1180000000.0,2.11,35.79,61.16,1.5,0.35,92.60,7910000.0,4.52,3.38,8970000.0,N/A
499,N/A,N/A,xrx,N/A,N/A,N/A,N/A,N/A,77.67,36.27,0.52,1.03,1.59,4.17,1.81,1.5,17.17,9150000000.0,15350000000.0,7.92,2.80,0.86,8.90,0.86,5260000000.0,1.5,371000000.0,0.25,84.90,4.20,1190000000.0,1.17,7390000000.0,1.11,9.01,9.03,1.5,6.66,84.50,29340000.0,4.84,2.93,25930000.0,N/A
500,N/A,N/A,xyl,N/A,N/A,N/A,N/A,N/A,86.75,22.81,2.11,3.58,9.34,12.78,5.90,1.5,20.35,7720000000.0,8400000000.0,19.01,1.90,2.29,14.05,2.29,1400000000.0,1.5,342000000.0,1.89,3.10,1.20,1190000000.0,6.67,1870000000.0,1.80,12.07,43.15,1.5,0.40,92.80,2110000.0,1.56,1.19,1960000.0,N/A
